YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-02,WEEKDAY,14,TRAIN,EW16/NE3/TE17,29340,33568
2024-02,WEEKDAY,19,TRAIN,EW26,25377,71656
2024-02,WEEKENDS/HOLIDAY,19,TRAIN,EW26,11657,16911
2024-02,WEEKDAY,6,TRAIN,BP3,12666,1092
2024-02,WEEKENDS/HOLIDAY,6,TRAIN,BP3,1091,187
2024-02,WEEKDAY,13,TRAIN,EW12/DT14,66923,70164
2024-02,WEEKENDS/HOLIDAY,13,TRAIN,EW12/DT14,33611,47309
2024-02,WEEKENDS/HOLIDAY,8,TRAIN,CG2,7305,8724
2024-02,WEEKDAY,8,TRAIN,CG2,15013,33327
2024-02,WEEKENDS/HOLIDAY,20,TRAIN,NE13,6271,9600
2024-02,WEEKDAY,20,TRAIN,NE13,17061,27964
2024-02,WEEKDAY,19,TRAIN,NS17/CC15,51610,81312
2024-02,WEEKENDS/HOLIDAY,19,TRAIN,NS17/CC15,15679,17965
2024-02,WEEKENDS/HOLIDAY,14,TRAIN,TE8,5297,3868
2024-02,WEEKDAY,14,TRAIN,TE8,7826,8088
2024-02,WEEKDAY,23,TRAIN,CC17/TE9,969,2459
2024-02,WEEKENDS/HOLIDAY,23,TRAIN,CC17/TE9,482,1063
2024-02,WEEKDAY,10,TRAIN,DT18,4839,24823
2024-02,WEEKENDS/HOLIDAY,10,TRAIN,DT18,1650,3560
2024-02,WEEKENDS/HOLIDAY,19,TRAIN,EW23,18405,22352
2024-02,WEEKDAY,19,TRAIN,EW23,60320,83588
2024-02,WEEKDAY,14,TRAIN,EW15,31450,28610
2024-02,WEEKENDS/HOLIDAY,14,TRAIN,EW15,10427,8422
2024-02,WEEKENDS/HOLIDAY,23,TRAIN,EW12/DT14,10817,5391
2024-02,WEEKDAY,23,TRAIN,EW12/DT14,22295,11242
2024-02,WEEKDAY,10,TRAIN,NS4/BP1,28718,22367
2024-02,WEEKENDS/HOLIDAY,10,TRAIN,NS4/BP1,16102,11806
2024-02,WEEKENDS/HOLIDAY,22,TRAIN,NS5,4632,12964
2024-02,WEEKDAY,22,TRAIN,NS5,8397,29544
2024-02,WEEKENDS/HOLIDAY,22,TRAIN,SE3,324,1858
2024-02,WEEKDAY,22,TRAIN,SE3,449,3963
2024-02,WEEKDAY,7,TRAIN,NS15,35113,63884
2024-02,WEEKENDS/HOLIDAY,7,TRAIN,NS15,4542,4116
